store_id,store_name,wkt
place_1,McDonald's,"POLYGON ((13.4611920000000005 52.4709870000000009, 13.4610299999999992 52.4706600000000023, 13.4611959999999993 52.4706290000000024, 13.4612090000000002 52.4706550000000007, 13.4613589999999999 52.4709560000000010, 13.4611920000000005 52.4709870000000009))"
place_2,McDonald's,"POLYGON ((13.4683480000000007 52.5471599999999981, 13.4684080000000002 52.5471560000000011, 13.4684589999999993 52.5471360000000018, 13.4684910000000002 52.5471050000000020, 13.4684960000000000 52.5470729999999975, 13.4685500000000005 52.5470740000000021, 13.4685430000000004 52.5470449999999971, 13.4685269999999999 52.5470180000000013, 13.4684939999999997 52.5469920000000030, 13.4684449999999991 52.5469719999999967, 13.4684080000000002 52.5469629999999981, 13.4683630000000001 52.5469599999999986, 13.4683650000000004 52.5469960000000000, 13.4683159999999997 52.5469989999999996, 13.4682650000000006 52.5470189999999988, 13.4682329999999997 52.5470510000000033, 13.4682270000000006 52.5470880000000022, 13.4682469999999999 52.5471220000000017, 13.4682899999999997 52.5471480000000000, 13.4683480000000007 52.5471599999999981))"
place_3,McDonald's,"POLYGON ((13.3128810000000009 52.4197929999999985, 13.3130269999999999 52.4196560000000034, 13.3134540000000001 52.4198319999999995, 13.3133020000000002 52.4199669999999998, 13.3128810000000009 52.4197929999999985))"
place_4,McDonald's,"POLYGON ((13.3635780000000004 52.5606039999999979, 13.3635760000000001 52.5606089999999995, 13.3634299999999993 52.5605899999999977, 13.3634319999999995 52.5605830000000012, 13.3633620000000004 52.5605750000000000, 13.3633959999999998 52.5604739999999993, 13.3634000000000004 52.5604739999999993, 13.3634039999999992 52.5604629999999986, 13.3636640000000000 52.5604950000000031, 13.3636730000000004 52.5605029999999971, 13.3637759999999997 52.5605159999999998, 13.3637859999999993 52.5605249999999984, 13.3637770000000007 52.5605509999999967, 13.3637700000000006 52.5605540000000033, 13.3637650000000008 52.5605699999999985, 13.3637700000000006 52.5605740000000026, 13.3637530000000009 52.5606229999999996, 13.3637390000000007 52.5606280000000012, 13.3635959999999994 52.5606110000000015, 13.3635979999999996 52.5606059999999999, 13.3635780000000004 52.5606039999999979))"
place_5,McDonald's,"POLYGON ((13.3230909999999998 52.5613460000000003, 13.3230719999999998 52.5612819999999985, 13.3230590000000007 52.5612840000000006, 13.3230579999999996 52.5612789999999990, 13.3230520000000006 52.5612799999999964, 13.3230489999999993 52.5612690000000029, 13.3230540000000008 52.5612679999999983, 13.3230520000000006 52.5612589999999997, 13.3230649999999997 52.5612569999999977, 13.3230439999999994 52.5611869999999968, 13.3230310000000003 52.5611889999999988, 13.3230290000000000 52.5611839999999972, 13.3230240000000002 52.5611839999999972, 13.3230199999999996 52.5611729999999966, 13.3230260000000005 52.5611719999999991, 13.3230240000000002 52.5611669999999975, 13.3230369999999994 52.5611660000000001, 13.3230090000000008 52.5610720000000029, 13.3232110000000006 52.5610500000000016, 13.3232929999999996 52.5613239999999990, 13.3230909999999998 52.5613460000000003))"
place_6,McDonald's,"POLYGON ((13.2377880000000001 52.3949420000000003, 13.2380209999999998 52.3947760000000002, 13.2381940000000000 52.3948630000000009, 13.2378959999999992 52.3950749999999985, 13.2377479999999998 52.3950019999999981, 13.2378140000000002 52.3949550000000031, 13.2377880000000001 52.3949420000000003))"
place_7,McDonald's,"POLYGON ((13.6443560000000002 52.5437119999999993, 13.6444720000000004 52.5434169999999980, 13.6446649999999998 52.5434449999999984, 13.6446220000000000 52.5435549999999978, 13.6445939999999997 52.5435510000000008, 13.6445500000000006 52.5436639999999997, 13.6445709999999991 52.5436669999999992, 13.6445430000000005 52.5437390000000022, 13.6443560000000002 52.5437119999999993))"
place_8,McDonald's,"POLYGON ((13.4328160000000008 52.3584549999999993, 13.4328380000000003 52.3584450000000032, 13.4328319999999994 52.3584290000000010, 13.4329339999999995 52.3583860000000030, 13.4329370000000008 52.3583380000000034, 13.4329660000000004 52.3583380000000034, 13.4329640000000001 52.3583640000000017, 13.4329540000000005 52.3583640000000017, 13.4329529999999995 52.3583780000000019, 13.4329630000000009 52.3583739999999977, 13.4332379999999993 52.3586159999999978, 13.4330770000000008 52.3586839999999967, 13.4328160000000008 52.3584549999999993))"
place_9,McDonald's,"POLYGON ((13.2042149999999996 52.6524739999999980, 13.2042099999999998 52.6525770000000009, 13.2043119999999998 52.6525790000000029, 13.2043110000000006 52.6526009999999971, 13.2046820000000000 52.6526080000000007, 13.2046890000000001 52.6524629999999974, 13.2043199999999992 52.6524569999999983, 13.2043189999999999 52.6524760000000001, 13.2042149999999996 52.6524739999999980))"
place_10,McDonald's,"POLYGON ((13.5655859999999997 52.6881309999999985, 13.5654730000000008 52.6880290000000002, 13.5655300000000008 52.6880060000000014, 13.5658569999999994 52.6878730000000033, 13.5659700000000001 52.6879759999999990, 13.5655859999999997 52.6881309999999985))"
